task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	71/4eea02	2934188	split_page_ranges (1)	COMPLETED	0	2024-12-12 16:04:52.455	5.5s	5.2s	68.6%	120.3 MB	2.2 GB	70.3 MB	90 MB
2	a3/bbc92f	2934170	split_page_ranges (2)	COMPLETED	0	2024-12-12 16:04:52.395	6s	5.5s	66.3%	161.4 MB	2.3 GB	70.3 MB	90 MB
4	b2/881773	2934174	split_page_ranges (4)	COMPLETED	0	2024-12-12 16:04:52.411	6s	5.4s	66.6%	161.2 MB	2.3 GB	70.4 MB	90 MB
3	77/e77ccc	2934182	split_page_ranges (3)	COMPLETED	0	2024-12-12 16:04:52.432	6s	5.3s	67.4%	120.7 MB	2.2 GB	70.3 MB	90 MB
8	fe/9a0cce	2937786	ocrd_cis_ocropy_binarize_0 (4)	COMPLETED	0	2024-12-12 16:04:58.511	2m 12s	2m 12s	91.4%	340.6 MB	2.6 GB	168.3 MB	155.5 MB
6	b8/443c5f	2937739	ocrd_cis_ocropy_binarize_0 (2)	COMPLETED	0	2024-12-12 16:04:58.379	2m 13s	2m 13s	90.9%	338.2 MB	2.6 GB	168.6 MB	155.5 MB
7	be/97b88d	2937747	ocrd_cis_ocropy_binarize_0 (3)	COMPLETED	0	2024-12-12 16:04:58.415	2m 17s	2m 16s	90.9%	441.6 MB	2.7 GB	165.3 MB	155.3 MB
5	9c/bcdf42	2937588	ocrd_cis_ocropy_binarize_0 (1)	COMPLETED	0	2024-12-12 16:04:58.082	2m 19s	2m 18s	91.0%	349.6 MB	2.6 GB	169.6 MB	155.8 MB
11	47/95f6e1	2977795	ocrd_anybaseocr_crop_1 (3)	COMPLETED	0	2024-12-12 16:07:15.122	2m 6s	2m 6s	91.7%	1020.4 MB	3.5 GB	181.4 MB	150.1 MB
13	eb/a033bc	3000002	ocrd_skimage_binarize_2 (1)	COMPLETED	0	2024-12-12 16:09:21.505	12.4s	11.9s	80.4%	267.3 MB	2.5 GB	142.6 MB	147.4 MB
9	9d/59bce1	2976752	ocrd_anybaseocr_crop_1 (1)	COMPLETED	0	2024-12-12 16:07:10.849	2m 24s	2m 24s	91.1%	938.5 MB	3.4 GB	186.8 MB	151.5 MB
10	55/9095ef	2976913	ocrd_anybaseocr_crop_1 (2)	COMPLETED	0	2024-12-12 16:07:11.391	2m 26s	2m 25s	91.4%	940.2 MB	3.4 GB	187.3 MB	151.7 MB
12	65/a2bb6c	2978291	ocrd_anybaseocr_crop_1 (4)	COMPLETED	0	2024-12-12 16:07:16.890	2m 23s	2m 23s	91.4%	1005.6 MB	3.5 GB	187.4 MB	150.1 MB
15	85/29532b	3002516	ocrd_skimage_binarize_2 (2)	COMPLETED	0	2024-12-12 16:09:34.724	12.9s	12.7s	77.8%	268.3 MB	2.5 GB	144.6 MB	147.6 MB
14	30/92d9b0	3002354	ocrd_skimage_denoise_3 (1)	COMPLETED	0	2024-12-12 16:09:33.959	13.7s	13.3s	79.7%	271.7 MB	2.5 GB	143.3 MB	147.3 MB
16	2c/cbeeca	3003410	ocrd_skimage_binarize_2 (3)	COMPLETED	0	2024-12-12 16:09:37.114	13s	12.3s	78.9%	258.6 MB	2.5 GB	144.8 MB	147.6 MB
17	67/5e5adb	3004254	ocrd_skimage_binarize_2 (4)	COMPLETED	0	2024-12-12 16:09:40.415	13.5s	13.1s	76.0%	268.4 MB	2.5 GB	145.4 MB	147.7 MB
18	ea/13ca12	3007090	ocrd_skimage_denoise_3 (2)	COMPLETED	0	2024-12-12 16:09:47.658	14.5s	14.1s	75.3%	257.5 MB	2.5 GB	145.5 MB	147.4 MB
