task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
18	fd/832e73	2086453	split_page_ranges (18)	COMPLETED	0	2024-12-12 16:02:42.802	6.1s	5.9s	66.5%	149.9 MB	2.3 GB	70.6 MB	90.1 MB
4	cc/8b5989	2086316	split_page_ranges (4)	COMPLETED	0	2024-12-12 16:02:42.751	6.3s	6s	65.9%	148.1 MB	2.4 GB	70.6 MB	90.1 MB
32	bf/63aea6	2086405	split_page_ranges (32)	COMPLETED	0	2024-12-12 16:02:42.785	6.3s	6s	65.5%	146.6 MB	2.3 GB	70.6 MB	90.1 MB
21	c7/3c54b1	2086475	split_page_ranges (21)	COMPLETED	0	2024-12-12 16:02:42.811	6.2s	6s	66.5%	148.5 MB	2.5 GB	70.6 MB	90.1 MB
11	e0/d3b874	2086270	split_page_ranges (11)	COMPLETED	0	2024-12-12 16:02:42.721	6.4s	6.2s	64.3%	156.4 MB	2.3 GB	70.6 MB	90.1 MB
10	64/7ef836	2086365	split_page_ranges (10)	COMPLETED	0	2024-12-12 16:02:42.769	6.3s	6.1s	65.3%	148.2 MB	2.3 GB	70.6 MB	90.1 MB
26	4a/a02c88	2086383	split_page_ranges (26)	COMPLETED	0	2024-12-12 16:02:42.777	6.3s	6.1s	65.5%	136.4 MB	2.3 GB	70.6 MB	90.1 MB
2	84/385f7d	2086429	split_page_ranges (2)	COMPLETED	0	2024-12-12 16:02:42.794	6.3s	6.1s	65.3%	152 MB	2.3 GB	70.6 MB	90.1 MB
22	7d/20c949	2086678	split_page_ranges (22)	COMPLETED	0	2024-12-12 16:02:42.854	6.3s	6s	66.5%	151.2 MB	2.3 GB	70.6 MB	90.1 MB
30	64/07d2f2	2086262	split_page_ranges (30)	COMPLETED	0	2024-12-12 16:02:42.712	6.4s	6.2s	65.1%	146.5 MB	2.3 GB	70.6 MB	90.1 MB
5	51/8c833e	2086278	split_page_ranges (5)	COMPLETED	0	2024-12-12 16:02:42.731	6.4s	6.2s	64.8%	142.8 MB	2.3 GB	70.6 MB	90.1 MB
14	76/92dd58	2086286	split_page_ranges (14)	COMPLETED	0	2024-12-12 16:02:42.740	6.4s	6.3s	63.6%	147.5 MB	2.4 GB	70.6 MB	90.1 MB
13	36/98b798	2086343	split_page_ranges (13)	COMPLETED	0	2024-12-12 16:02:42.760	6.4s	6.2s	64.6%	138.7 MB	2.5 GB	70.6 MB	90.1 MB
31	d9/402d42	2086506	split_page_ranges (31)	COMPLETED	0	2024-12-12 16:02:42.819	6.4s	6.1s	65.2%	149.1 MB	2.3 GB	70.6 MB	90.1 MB
7	c8/398913	2086573	split_page_ranges (7)	COMPLETED	0	2024-12-12 16:02:42.837	6.4s	6s	65.3%	147.6 MB	2.3 GB	70.6 MB	90.1 MB
6	3a/933b84	2086622	split_page_ranges (6)	COMPLETED	0	2024-12-12 16:02:42.846	6.4s	6s	65.7%	151.1 MB	2.3 GB	70.6 MB	90.1 MB
15	75/2a1df1	2086772	split_page_ranges (15)	COMPLETED	0	2024-12-12 16:02:42.869	6.3s	6.1s	64.8%	147.5 MB	2.3 GB	70.6 MB	90.1 MB
3	6d/d7c83d	2086990	split_page_ranges (3)	COMPLETED	0	2024-12-12 16:02:42.902	6.3s	6s	66.2%	147.3 MB	2.3 GB	70.6 MB	90.1 MB
19	01/b3c543	2086257	split_page_ranges (19)	COMPLETED	0	2024-12-12 16:02:42.701	6.6s	6.3s	63.3%	159.9 MB	2.3 GB	70.6 MB	90.1 MB
8	63/5b1293	2086963	split_page_ranges (8)	COMPLETED	0	2024-12-12 16:02:42.892	6.4s	6.1s	65.0%	147.5 MB	2.5 GB	70.6 MB	90.1 MB
25	7e/bb0e9f	2086542	split_page_ranges (25)	COMPLETED	0	2024-12-12 16:02:42.827	6.5s	6.2s	62.8%	148.1 MB	2.4 GB	70.6 MB	90.1 MB
20	54/3a9d04	2087032	split_page_ranges (20)	COMPLETED	0	2024-12-12 16:02:42.914	6.4s	6.1s	64.5%	146 MB	2.3 GB	70.6 MB	90.1 MB
28	06/fdba29	2087068	split_page_ranges (28)	COMPLETED	0	2024-12-12 16:02:42.924	6.5s	6.1s	63.9%	139.3 MB	2.3 GB	70.6 MB	90.1 MB
1	81/a14c13	2087810	split_page_ranges (1)	COMPLETED	0	2024-12-12 16:02:43.069	6.4s	6s	65.9%	139.3 MB	2.3 GB	70.6 MB	90.1 MB
23	73/2c0e81	2087214	split_page_ranges (23)	COMPLETED	0	2024-12-12 16:02:42.960	6.5s	6.1s	64.8%	141.8 MB	2.3 GB	70.6 MB	90.1 MB
16	a8/af1c99	2087301	split_page_ranges (16)	COMPLETED	0	2024-12-12 16:02:42.984	6.5s	6s	64.5%	133.4 MB	2.3 GB	70.6 MB	90.1 MB
29	54/08459c	2087341	split_page_ranges (29)	COMPLETED	0	2024-12-12 16:02:42.998	6.5s	6.1s	65.2%	144.6 MB	2.2 GB	70.6 MB	90.1 MB
27	5b/b0d424	2087523	split_page_ranges (27)	COMPLETED	0	2024-12-12 16:02:43.030	6.5s	6s	65.2%	138.9 MB	2.4 GB	70.6 MB	90.1 MB
17	6d/c05726	2087147	split_page_ranges (17)	COMPLETED	0	2024-12-12 16:02:42.944	6.6s	6.1s	63.7%	134.3 MB	2.3 GB	70.6 MB	90.1 MB
12	e4/56f31a	2087580	split_page_ranges (12)	COMPLETED	0	2024-12-12 16:02:43.038	6.6s	6s	64.7%	134.5 MB	2.3 GB	70.6 MB	90.1 MB
9	18/0c0152	2086733	split_page_ranges (9)	COMPLETED	0	2024-12-12 16:02:42.862	6.8s	6.3s	62.5%	137.1 MB	2.3 GB	70.6 MB	90.1 MB
24	23/5baa01	2087808	split_page_ranges (24)	COMPLETED	0	2024-12-12 16:02:43.061	6.8s	6s	64.6%	143.1 MB	2.4 GB	70.6 MB	90.1 MB
33	13/b2ebfb	2102192	ocrd_cis_ocropy_binarize_0 (1)	COMPLETED	0	2024-12-12 16:02:48.996	40.2s	40s	86.5%	366 MB	2.9 GB	128 MB	154.1 MB
36	84/2d65cb	2102324	ocrd_cis_ocropy_binarize_0 (4)	COMPLETED	0	2024-12-12 16:02:49.065	40.7s	40.5s	85.3%	361.6 MB	2.8 GB	127.9 MB	154.1 MB
41	9a/e22fff	2102519	ocrd_cis_ocropy_binarize_0 (9)	COMPLETED	0	2024-12-12 16:02:49.134	40.7s	40.5s	85.2%	365.7 MB	2.6 GB	128.1 MB	154.1 MB
49	e6/39cbae	2102993	ocrd_cis_ocropy_binarize_0 (17)	COMPLETED	0	2024-12-12 16:02:49.232	40.7s	40.5s	85.8%	368 MB	2.8 GB	128.1 MB	154.1 MB
42	f0/196d1b	2102704	ocrd_cis_ocropy_binarize_0 (10)	COMPLETED	0	2024-12-12 16:02:49.172	40.8s	40.5s	85.4%	364.5 MB	2.8 GB	128.2 MB	154.1 MB
39	a3/4b87c5	2102477	ocrd_cis_ocropy_binarize_0 (7)	COMPLETED	0	2024-12-12 16:02:49.120	40.9s	40.7s	85.3%	366.6 MB	2.7 GB	127.9 MB	154.1 MB
57	f2/70825b	2104187	ocrd_cis_ocropy_binarize_0 (25)	COMPLETED	0	2024-12-12 16:02:49.456	40.8s	40.4s	85.9%	363.6 MB	2.7 GB	128.2 MB	154.1 MB
44	7f/52d8c1	2102748	ocrd_cis_ocropy_binarize_0 (12)	COMPLETED	0	2024-12-12 16:02:49.186	41.1s	40.8s	84.7%	366.8 MB	2.8 GB	128.3 MB	154.1 MB
46	65/dbfe43	2102822	ocrd_cis_ocropy_binarize_0 (14)	COMPLETED	0	2024-12-12 16:02:49.201	41.2s	40.9s	84.8%	364.6 MB	2.7 GB	128.2 MB	154.1 MB
53	c9/4b802a	2103619	ocrd_cis_ocropy_binarize_0 (21)	COMPLETED	0	2024-12-12 16:02:49.349	41.1s	40.8s	84.7%	365.5 MB	2.7 GB	127.9 MB	154.1 MB
