task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
32	39/c7ac2d	3070279	split_page_ranges (32)	COMPLETED	0	2024-12-12 16:32:46.726	6.4s	6.3s	65.4%	159.1 MB	2.3 GB	70.5 MB	90 MB
26	76/c12a26	3070238	split_page_ranges (26)	COMPLETED	0	2024-12-12 16:32:46.692	6.5s	6.3s	64.8%	159.6 MB	2.3 GB	70.5 MB	90 MB
17	b8/efbae9	3070253	split_page_ranges (17)	COMPLETED	0	2024-12-12 16:32:46.710	6.5s	6.3s	64.6%	156.5 MB	3.4 GB	70.5 MB	90 MB
21	a7/a5f2a8	3070319	split_page_ranges (21)	COMPLETED	0	2024-12-12 16:32:46.743	6.5s	6.3s	65.0%	146.5 MB	2.3 GB	70.5 MB	90 MB
5	65/3effaf	3070510	split_page_ranges (5)	COMPLETED	0	2024-12-12 16:32:46.801	6.4s	6.2s	65.7%	144.8 MB	2.3 GB	70.5 MB	90 MB
22	d4/61c96d	3070448	split_page_ranges (22)	COMPLETED	0	2024-12-12 16:32:46.785	6.5s	6.2s	65.2%	148.2 MB	2.3 GB	70.5 MB	90 MB
27	35/d54d0b	3071064	split_page_ranges (27)	COMPLETED	0	2024-12-12 16:32:46.918	6.4s	6s	67.6%	145.8 MB	2.3 GB	70.5 MB	90 MB
18	2e/79cc9b	3070342	split_page_ranges (18)	COMPLETED	0	2024-12-12 16:32:46.752	6.5s	6.3s	64.6%	148.4 MB	2.3 GB	70.5 MB	90 MB
12	13/fc87a8	3070263	split_page_ranges (12)	COMPLETED	0	2024-12-12 16:32:46.718	6.6s	6.4s	63.9%	154.3 MB	3.5 GB	70.5 MB	90 MB
7	c2/97e3a4	3070300	split_page_ranges (7)	COMPLETED	0	2024-12-12 16:32:46.735	6.6s	6.4s	65.0%	150.7 MB	2.4 GB	70.5 MB	90 MB
3	97/20f664	3070474	split_page_ranges (3)	COMPLETED	0	2024-12-12 16:32:46.793	6.5s	6.3s	64.7%	141.8 MB	2.3 GB	70.5 MB	90 MB
13	6c/d67b43	3070388	split_page_ranges (13)	COMPLETED	0	2024-12-12 16:32:46.768	6.6s	6.4s	64.2%	161.9 MB	2.3 GB	70.5 MB	90 MB
29	c2/7d7973	3070919	split_page_ranges (29)	COMPLETED	0	2024-12-12 16:32:46.886	6.5s	6.2s	65.5%	147.6 MB	2.3 GB	70.5 MB	90 MB
14	1b/73facf	3070244	split_page_ranges (14)	COMPLETED	0	2024-12-12 16:32:46.702	6.7s	6.5s	62.5%	150.9 MB	2.3 GB	70.5 MB	90 MB
15	10/ca5df1	3070414	split_page_ranges (15)	COMPLETED	0	2024-12-12 16:32:46.776	6.6s	6.4s	63.7%	147 MB	2.3 GB	70.5 MB	90 MB
8	ca/cdd653	3070872	split_page_ranges (8)	COMPLETED	0	2024-12-12 16:32:46.872	6.5s	6.2s	64.8%	145.8 MB	2.3 GB	70.5 MB	90 MB
23	cc/2dcff2	3070720	split_page_ranges (23)	COMPLETED	0	2024-12-12 16:32:46.835	6.6s	6.3s	63.9%	141.4 MB	2.3 GB	70.5 MB	90 MB
1	ad/7ffa3f	3071553	split_page_ranges (1)	COMPLETED	0	2024-12-12 16:32:47.004	6.5s	6s	67.3%	141.8 MB	2.3 GB	70.5 MB	90 MB
19	a6/c7214a	3071459	split_page_ranges (19)	COMPLETED	0	2024-12-12 16:32:46.980	6.5s	6.1s	65.7%	142.1 MB	2.3 GB	70.5 MB	90 MB
28	9e/68dd1a	3070368	split_page_ranges (28)	COMPLETED	0	2024-12-12 16:32:46.760	6.8s	6.6s	62.1%	156 MB	2.4 GB	70.5 MB	90 MB
10	a1/c389b5	3071169	split_page_ranges (10)	COMPLETED	0	2024-12-12 16:32:46.933	6.7s	6.3s	63.3%	141 MB	2.3 GB	70.5 MB	90 MB
24	5c/6c2694	3071828	split_page_ranges (24)	COMPLETED	0	2024-12-12 16:32:47.049	6.6s	6.1s	66.6%	141.9 MB	2.4 GB	70.5 MB	90 MB
2	16/cf77d7	3071252	split_page_ranges (2)	COMPLETED	0	2024-12-12 16:32:46.949	6.8s	6.3s	63.6%	141.4 MB	2.3 GB	70.5 MB	90 MB
20	7e/f80faa	3070835	split_page_ranges (20)	COMPLETED	0	2024-12-12 16:32:46.861	6.9s	6.6s	61.0%	132.1 MB	2.3 GB	70.5 MB	90 MB
6	3f/42411c	3071369	split_page_ranges (6)	COMPLETED	0	2024-12-12 16:32:46.961	6.9s	6.2s	65.0%	140.5 MB	2.4 GB	70.5 MB	90 MB
31	58/da647c	3071989	split_page_ranges (31)	COMPLETED	0	2024-12-12 16:32:47.075	6.8s	6.2s	65.6%	140.5 MB	2.3 GB	70.5 MB	90 MB
30	88/be0cd1	3070650	split_page_ranges (30)	COMPLETED	0	2024-12-12 16:32:46.822	7s	6.6s	61.1%	135.1 MB	2.3 GB	70.5 MB	90 MB
4	a6/4d4b66	3071412	split_page_ranges (4)	COMPLETED	0	2024-12-12 16:32:46.971	6.9s	6.3s	63.9%	135.9 MB	2.3 GB	70.5 MB	90 MB
16	6f/6631bb	3070564	split_page_ranges (16)	COMPLETED	0	2024-12-12 16:32:46.811	7.1s	6.6s	62.2%	143.7 MB	2.3 GB	70.5 MB	90 MB
11	b0/e0ce38	3070766	split_page_ranges (11)	COMPLETED	0	2024-12-12 16:32:46.848	7.1s	6.4s	62.5%	135.5 MB	2.3 GB	70.5 MB	90 MB
25	09/5951f9	3071655	split_page_ranges (25)	COMPLETED	0	2024-12-12 16:32:47.014	6.9s	6.4s	62.4%	134 MB	2.3 GB	70.5 MB	90 MB
9	9c/9163e6	3071709	split_page_ranges (9)	COMPLETED	0	2024-12-12 16:32:47.027	6.9s	6.3s	63.4%	130.8 MB	2.3 GB	70.5 MB	90 MB
35	cd/8d8981	3088324	ocrd_cis_ocropy_binarize_0 (3)	COMPLETED	0	2024-12-12 16:32:53.233	55s	54.7s	87.3%	401.8 MB	2.7 GB	137.8 MB	154.1 MB
34	9f/46747f	3088303	ocrd_cis_ocropy_binarize_0 (2)	COMPLETED	0	2024-12-12 16:32:53.226	55.2s	55s	86.6%	400.3 MB	2.8 GB	138.6 MB	154.2 MB
54	c8/f460ef	3090347	ocrd_cis_ocropy_binarize_0 (22)	COMPLETED	0	2024-12-12 16:32:53.649	55.1s	54.7s	87.1%	394.9 MB	2.7 GB	139.2 MB	154.2 MB
41	ae/257c2a	3088630	ocrd_cis_ocropy_binarize_0 (9)	COMPLETED	0	2024-12-12 16:32:53.323	55.7s	55.5s	86.1%	400.5 MB	2.6 GB	138.4 MB	154.2 MB
59	33/05cdcd	3091658	ocrd_cis_ocropy_binarize_0 (27)	COMPLETED	0	2024-12-12 16:32:53.883	55.2s	54.8s	86.9%	397.6 MB	3.2 GB	138.6 MB	154.2 MB
