task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	4d/ec6d5c	296860	split_page_ranges (4)	COMPLETED	0	2024-12-12 17:28:38.042	6.2s	5.9s	71.4%	153.6 MB	2.3 GB	67.9 MB	86.6 MB
2	40/1b6058	296875	split_page_ranges (2)	COMPLETED	0	2024-12-12 17:28:38.078	6.6s	6.3s	66.9%	132.5 MB	2.3 GB	67.9 MB	86.6 MB
3	fc/b9aafd	296852	split_page_ranges (3)	COMPLETED	0	2024-12-12 17:28:38.011	7.1s	6.4s	67.1%	146.2 MB	2.3 GB	67.9 MB	86.6 MB
1	31/a961c2	297521	split_page_ranges (1)	COMPLETED	0	2024-12-12 17:28:38.902	6.5s	5.7s	72.8%	150.8 MB	2.4 GB	67.9 MB	86.6 MB
5	19/a5ed61	300799	ocrd_tesserocr_recognize_0 (1)	COMPLETED	0	2024-12-12 17:28:44.511	1m 19s	1m 18s	87.4%	306 MB	2.6 GB	138.5 MB	131.1 MB
8	45/f8964e	301254	ocrd_tesserocr_recognize_0 (4)	COMPLETED	0	2024-12-12 17:28:45.443	1m 42s	1m 41s	89.3%	303.8 MB	2.6 GB	143.2 MB	131.5 MB
6	70/c8b775	300904	ocrd_tesserocr_recognize_0 (2)	COMPLETED	0	2024-12-12 17:28:44.741	2m 4s	2m 4s	91.2%	309.1 MB	2.6 GB	141.6 MB	132 MB
7	38/b9272f	301152	ocrd_tesserocr_recognize_0 (3)	COMPLETED	0	2024-12-12 17:28:45.205	2m 9s	2m 7s	91.0%	300.9 MB	2.6 GB	142.1 MB	132.3 MB
