task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	d0/f8fd76	3948170	split_page_ranges (8)	COMPLETED	0	2024-12-12 16:58:51.055	5.2s	5s	72.5%	163.4 MB	2.3 GB	68 MB	86.6 MB
14	48/ba6faf	3948243	split_page_ranges (14)	COMPLETED	0	2024-12-12 16:58:51.095	5.3s	5s	71.5%	157.2 MB	2.3 GB	68 MB	86.6 MB
7	80/d1f3f8	3948344	split_page_ranges (7)	COMPLETED	0	2024-12-12 16:58:51.131	5.2s	5s	72.2%	160.9 MB	2.3 GB	68 MB	86.6 MB
6	76/920667	3948157	split_page_ranges (6)	COMPLETED	0	2024-12-12 16:58:51.044	5.4s	5.2s	69.7%	153.9 MB	2.3 GB	68.1 MB	86.6 MB
3	9c/9e9bd0	3948307	split_page_ranges (3)	COMPLETED	0	2024-12-12 16:58:51.121	5.4s	5.1s	69.8%	156.1 MB	2.4 GB	68 MB	86.6 MB
4	b0/59ae84	3948187	split_page_ranges (4)	COMPLETED	0	2024-12-12 16:58:51.066	5.5s	5.3s	67.8%	158.6 MB	2.3 GB	68 MB	86.6 MB
12	1b/34d15d	3948222	split_page_ranges (12)	COMPLETED	0	2024-12-12 16:58:51.086	5.5s	5.3s	68.2%	152.9 MB	2.3 GB	68.1 MB	86.6 MB
9	04/f01510	3948419	split_page_ranges (9)	COMPLETED	0	2024-12-12 16:58:51.158	5.5s	5.1s	69.5%	160 MB	2.3 GB	68.1 MB	86.6 MB
2	02/4bbe3f	3948372	split_page_ranges (2)	COMPLETED	0	2024-12-12 16:58:51.149	5.5s	5.1s	70.3%	151.7 MB	2.3 GB	68 MB	86.6 MB
16	32/27fb5a	3948492	split_page_ranges (16)	COMPLETED	0	2024-12-12 16:58:51.187	5.5s	5.1s	69.7%	150.2 MB	2.2 GB	68 MB	86.6 MB
10	5e/d0c5f3	3948532	split_page_ranges (10)	COMPLETED	0	2024-12-12 16:58:51.201	5.5s	5s	71.0%	154.4 MB	2.3 GB	68 MB	86.6 MB
13	0b/3f4b13	3948266	split_page_ranges (13)	COMPLETED	0	2024-12-12 16:58:51.106	5.6s	5.4s	67.4%	153.5 MB	2.3 GB	68 MB	86.6 MB
11	da/6cefb6	3948434	split_page_ranges (11)	COMPLETED	0	2024-12-12 16:58:51.167	5.6s	5.2s	69.2%	152.6 MB	2.3 GB	68 MB	86.6 MB
15	7d/1e2e2c	3948200	split_page_ranges (15)	COMPLETED	0	2024-12-12 16:58:51.076	5.8s	5.4s	65.8%	148.1 MB	2.3 GB	68.1 MB	86.6 MB
1	ec/a1bf38	3948148	split_page_ranges (1)	COMPLETED	0	2024-12-12 16:58:51.032	6.1s	5.5s	65.6%	148.8 MB	2.3 GB	68 MB	86.6 MB
5	9d/a96ec9	3950598	split_page_ranges (5)	COMPLETED	0	2024-12-12 16:58:51.974	5.3s	4.7s	74.4%	154.1 MB	2.3 GB	68 MB	86.6 MB
18	88/00f626	3954831	ocrd_cis_ocropy_binarize_0 (2)	COMPLETED	0	2024-12-12 16:58:56.371	51.4s	51.2s	84.8%	322.2 MB	2.5 GB	136.8 MB	153.8 MB
28	4b/5af9bd	3955657	ocrd_cis_ocropy_binarize_0 (12)	COMPLETED	0	2024-12-12 16:58:56.763	52.6s	52.2s	84.7%	324.2 MB	2.6 GB	136.9 MB	153.8 MB
30	97/1f814c	3956066	ocrd_cis_ocropy_binarize_0 (14)	COMPLETED	0	2024-12-12 16:58:56.924	52.7s	52.3s	84.7%	325.4 MB	2.6 GB	137.1 MB	153.8 MB
17	da/895078	3954818	ocrd_cis_ocropy_binarize_0 (1)	COMPLETED	0	2024-12-12 16:58:56.339	55.4s	55.1s	86.8%	320.1 MB	2.5 GB	140 MB	153.9 MB
26	44/1c3c30	3955528	ocrd_cis_ocropy_binarize_0 (10)	COMPLETED	0	2024-12-12 16:58:56.698	55.3s	54.8s	84.7%	371.4 MB	2.6 GB	136.6 MB	153.7 MB
21	75/7841b6	3955054	ocrd_cis_ocropy_binarize_0 (5)	COMPLETED	0	2024-12-12 16:58:56.511	56.2s	55.9s	85.5%	321.3 MB	2.5 GB	139.6 MB	153.9 MB
19	a8/356745	3954853	ocrd_cis_ocropy_binarize_0 (3)	COMPLETED	0	2024-12-12 16:58:56.383	56.7s	56.4s	84.9%	322.4 MB	2.6 GB	139.9 MB	153.9 MB
20	9c/1fb1f9	3954929	ocrd_cis_ocropy_binarize_0 (4)	COMPLETED	0	2024-12-12 16:58:56.439	56.7s	56.4s	85.4%	325.1 MB	2.5 GB	139.7 MB	153.9 MB
25	ed/332d8a	3955480	ocrd_cis_ocropy_binarize_0 (9)	COMPLETED	0	2024-12-12 16:58:56.680	56.5s	56.2s	86.3%	323.2 MB	2.6 GB	138.9 MB	153.8 MB
23	35/3db396	3955419	ocrd_cis_ocropy_binarize_0 (7)	COMPLETED	0	2024-12-12 16:58:56.655	57s	56.7s	85.8%	320.5 MB	2.5 GB	139.8 MB	153.9 MB
27	11/742d11	3955578	ocrd_cis_ocropy_binarize_0 (11)	COMPLETED	0	2024-12-12 16:58:56.714	57.2s	56.7s	85.7%	324.2 MB	2.6 GB	139.5 MB	153.9 MB
29	fc/a291e8	3955685	ocrd_cis_ocropy_binarize_0 (13)	COMPLETED	0	2024-12-12 16:58:56.777	57.3s	56.9s	85.5%	327.1 MB	2.7 GB	139.8 MB	153.8 MB
22	ae/606adf	3955331	ocrd_cis_ocropy_binarize_0 (6)	COMPLETED	0	2024-12-12 16:58:56.627	57.5s	57.2s	85.3%	323.8 MB	2.6 GB	139.5 MB	153.9 MB
31	d9/af7364	3956423	ocrd_cis_ocropy_binarize_0 (15)	COMPLETED	0	2024-12-12 16:58:57.124	57.2s	56.8s	86.3%	324.7 MB	2.6 GB	139 MB	153.9 MB
24	b5/26ed2e	3955447	ocrd_cis_ocropy_binarize_0 (8)	COMPLETED	0	2024-12-12 16:58:56.667	57.8s	57.5s	85.2%	321.3 MB	2.5 GB	139.8 MB	153.9 MB
32	49/c816d4	3956809	ocrd_cis_ocropy_binarize_0 (16)	COMPLETED	0	2024-12-12 16:58:57.299	57.6s	57.2s	85.3%	322.2 MB	2.6 GB	139.3 MB	153.9 MB
33	01/686c4c	3989192	ocrd_anybaseocr_crop_1 (1)	COMPLETED	0	2024-12-12 16:59:47.832	42.6s	42.3s	82.9%	451.9 MB	3.6 GB	138.4 MB	143.1 MB
34	fe/f4f22f	3989591	ocrd_anybaseocr_crop_1 (2)	COMPLETED	0	2024-12-12 16:59:49.341	45.4s	45s	77.7%	447.7 MB	3.8 GB	138.4 MB	143.2 MB
35	d1/ff0d34	3989724	ocrd_anybaseocr_crop_1 (3)	COMPLETED	0	2024-12-12 16:59:49.678	45.3s	44.9s	80.1%	436.8 MB	3.8 GB	138.7 MB	143.2 MB
37	80/5a425e	3991360	ocrd_anybaseocr_crop_1 (5)	COMPLETED	0	2024-12-12 16:59:52.009	43.3s	42.8s	82.4%	474.2 MB	3.6 GB	138 MB	143 MB
41	f8/6df5ec	3992699	ocrd_anybaseocr_crop_1 (9)	COMPLETED	0	2024-12-12 16:59:53.174	45.7s	45.4s	79.5%	449.1 MB	3.8 GB	141 MB	143.2 MB
38	d8/57f2a6	3992258	ocrd_anybaseocr_crop_1 (6)	COMPLETED	0	2024-12-12 16:59:52.772	46.8s	46.6s	84.3%	451 MB	3.6 GB	142.3 MB	143.5 MB
36	c3/c620f0	3991075	ocrd_anybaseocr_crop_1 (4)	COMPLETED	0	2024-12-12 16:59:51.747	50.6s	50.3s	81.3%	470.4 MB	3.8 GB	142.9 MB	143.6 MB
46	3d/28f40a	3994175	ocrd_anybaseocr_crop_1 (14)	COMPLETED	0	2024-12-12 16:59:54.363	48s	47.7s	78.4%	446.1 MB	3.7 GB	141.3 MB	143.3 MB
49	9c/eb2a69	4021780	ocrd_cis_ocropy_denoise_2 (1)	COMPLETED	0	2024-12-12 17:00:30.523	12.3s	11.7s	72.1%	301.5 MB	3.6 GB	132 MB	155 MB
44	7a/4efecd	3993943	ocrd_anybaseocr_crop_1 (12)	COMPLETED	0	2024-12-12 16:59:54.113	48.9s	48.7s	81.5%	429.4 MB	3.9 GB	142.7 MB	143.4 MB
43	5b/c7177d	3993638	ocrd_anybaseocr_crop_1 (11)	COMPLETED	0	2024-12-12 16:59:53.908	49.3s	49.1s	81.5%	468 MB	3.7 GB	142.2 MB	143.5 MB
40	9e/b6e7a8	3992639	ocrd_anybaseocr_crop_1 (8)	COMPLETED	0	2024-12-12 16:59:53.135	50.1s	49.8s	80.8%	456.7 MB	3.8 GB	142.5 MB	143.5 MB
45	c8/1235b9	3993957	ocrd_anybaseocr_crop_1 (13)	COMPLETED	0	2024-12-12 16:59:54.140	49.1s	48.9s	81.6%	445.1 MB	3.9 GB	142.2 MB	143.5 MB
42	b4/5e24f2	3993408	ocrd_anybaseocr_crop_1 (10)	COMPLETED	0	2024-12-12 16:59:53.634	49.7s	49.5s	82.7%	444.2 MB	3.7 GB	142.5 MB	143.5 MB
48	d5/f2118b	3995120	ocrd_anybaseocr_crop_1 (16)	COMPLETED	0	2024-12-12 16:59:54.952	48.4s	48s	84.0%	454 MB	3.7 GB	142 MB	143.5 MB
39	72/275ed7	3992537	ocrd_anybaseocr_crop_1 (7)	COMPLETED	0	2024-12-12 16:59:53.068	50.4s	50.1s	82.3%	467.4 MB	3.8 GB	142.7 MB	143.5 MB
47	41/f26c6e	3994321	ocrd_anybaseocr_crop_1 (15)	COMPLETED	0	2024-12-12 16:59:54.518	49s	48.7s	82.4%	440.8 MB	3.8 GB	142.5 MB	143.5 MB
50	6c/9f2054	4024460	ocrd_cis_ocropy_denoise_2 (2)	COMPLETED	0	2024-12-12 17:00:34.734	12.1s	11.9s	77.7%	316.7 MB	3.6 GB	132.1 MB	155 MB
51	e5/5106f6	4024572	ocrd_cis_ocropy_denoise_2 (3)	COMPLETED	0	2024-12-12 17:00:35.024	12.9s	12.4s	73.9%	312.5 MB	3.7 GB	132.3 MB	155.1 MB
52	74/296ff4	4024810	ocrd_cis_ocropy_denoise_2 (4)	COMPLETED	0	2024-12-12 17:00:35.328	13.2s	12.7s	72.4%	301.4 MB	3.8 GB	131.9 MB	155 MB
53	e4/e721fb	4027401	ocrd_cis_ocropy_denoise_2 (5)	COMPLETED	0	2024-12-12 17:00:38.875	13.9s	13.4s	71.6%	318.1 MB	3.5 GB	133.4 MB	155.1 MB
54	c7/08ce8e	4027984	ocrd_cis_ocropy_denoise_2 (6)	COMPLETED	0	2024-12-12 17:00:39.615	14.3s	13.8s	70.6%	317.9 MB	3.7 GB	134 MB	155.1 MB
55	49/2569f0	4029353	ocrd_cis_ocropy_denoise_2 (7)	COMPLETED	0	2024-12-12 17:00:42.316	15.5s	15.2s	62.9%	304.5 MB	3.5 GB	134.1 MB	155.1 MB
56	6e/e6eb30	4029461	ocrd_cis_ocropy_denoise_2 (8)	COMPLETED	0	2024-12-12 17:00:42.417	16.3s	15.7s	61.6%	318.7 MB	3.6 GB	133.5 MB	155.1 MB
59	22/80f1a7	4031678	ocrd_cis_ocropy_denoise_2 (10)	COMPLETED	0	2024-12-12 17:00:44.050	16.4s	16s	61.3%	304.3 MB	3.7 GB	133.9 MB	155.1 MB
58	f7/9f7002	4031675	ocrd_cis_ocropy_denoise_2 (9)	COMPLETED	0	2024-12-12 17:00:44.044	16.7s	16.4s	58.3%	314.4 MB	3.7 GB	134 MB	155.1 MB
60	4b/dac9ae	4031697	ocrd_cis_ocropy_denoise_2 (11)	COMPLETED	0	2024-12-12 17:00:44.064	16.7s	16.4s	60.3%	320.8 MB	3.7 GB	134.1 MB	155.1 MB
63	54/8ce82b	4031793	ocrd_cis_ocropy_denoise_2 (14)	COMPLETED	0	2024-12-12 17:00:44.108	17.1s	16.7s	58.4%	306.1 MB	3.7 GB	133.8 MB	155.1 MB
62	7f/66ad5f	4031756	ocrd_cis_ocropy_denoise_2 (13)	COMPLETED	0	2024-12-12 17:00:44.100	17.2s	16.9s	58.2%	320 MB	3.7 GB	134.1 MB	155.1 MB
64	28/349782	4031819	ocrd_cis_ocropy_denoise_2 (15)	COMPLETED	0	2024-12-12 17:00:44.123	17.4s	16.9s	57.7%	309.7 MB	3.7 GB	134.1 MB	155.1 MB
