task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	bf/6baae0	3226417	split_page_ranges (1)	COMPLETED	0	2024-12-12 16:49:51.353	5.2s	4.9s	69.6%	161.4 MB	2.3 GB	68 MB	86.6 MB
4	64/1f39a4	3226446	split_page_ranges (4)	COMPLETED	0	2024-12-12 16:49:51.441	5.2s	4.7s	71.0%	162.9 MB	2.3 GB	68 MB	86.6 MB
2	11/42cffe	3226453	split_page_ranges (2)	COMPLETED	0	2024-12-12 16:49:51.467	5.3s	4.8s	70.3%	161.5 MB	2.3 GB	68 MB	86.6 MB
3	f6/94b8fe	3226428	split_page_ranges (3)	COMPLETED	0	2024-12-12 16:49:51.398	5.5s	5.2s	65.3%	127.3 MB	2.3 GB	68 MB	86.6 MB
8	90/93575e	3228945	ocrd_cis_ocropy_binarize_0 (4)	COMPLETED	0	2024-12-12 16:49:56.962	7m	7m	90.7%	401.7 MB	2.9 GB	373.4 MB	315.3 MB
7	51/5af92f	3228819	ocrd_cis_ocropy_binarize_0 (3)	COMPLETED	0	2024-12-12 16:49:56.759	7m 1s	7m	91.1%	396 MB	2.7 GB	370.2 MB	333.4 MB
6	29/37d443	3228794	ocrd_cis_ocropy_binarize_0 (2)	COMPLETED	0	2024-12-12 16:49:56.697	7m 6s	7m 6s	90.8%	431.2 MB	2.8 GB	375.3 MB	318.9 MB
5	d4/b6b842	3228799	ocrd_cis_ocropy_binarize_0 (1)	COMPLETED	0	2024-12-12 16:49:56.719	7m 10s	7m 10s	90.9%	397.5 MB	2.6 GB	360.3 MB	311.9 MB
9	81/0c80a9	3495694	ocrd_anybaseocr_crop_1 (1)	COMPLETED	0	2024-12-12 16:56:57.090	5m 45s	5m 44s	87.3%	1.6 GB	4.2 GB	345.1 MB	153.5 MB
10	29/1645b2	3496285	ocrd_anybaseocr_crop_1 (2)	COMPLETED	0	2024-12-12 16:56:57.684	5m 46s	5m 46s	87.0%	1.6 GB	4.1 GB	347.6 MB	154.3 MB
11	6b/1e674b	3504308	ocrd_anybaseocr_crop_1 (3)	COMPLETED	0	2024-12-12 16:57:03.033	5m 49s	5m 49s	87.2%	1.7 GB	4.1 GB	348.4 MB	152.6 MB
12	20/610fcb	3510590	ocrd_anybaseocr_crop_1 (4)	COMPLETED	0	2024-12-12 16:57:07.941	5m 50s	5m 50s	87.1%	1.6 GB	4.1 GB	346.9 MB	153.9 MB
13	c6/a24a56	3718029	ocrd_cis_ocropy_denoise_2 (1)	COMPLETED	0	2024-12-12 17:02:41.918	1m 22s	1m 22s	79.0%	377.2 MB	2.8 GB	233.2 MB	157.6 MB
14	05/ee0308	3719900	ocrd_cis_ocropy_denoise_2 (2)	COMPLETED	0	2024-12-12 17:02:44.129	1m 25s	1m 25s	80.6%	387.1 MB	2.8 GB	234.3 MB	157.8 MB
15	69/855ecb	3724303	ocrd_cis_ocropy_denoise_2 (3)	COMPLETED	0	2024-12-12 17:02:52.515	1m 25s	1m 24s	80.3%	464.1 MB	3 GB	235.5 MB	157.9 MB
16	77/a8755c	3728436	ocrd_cis_ocropy_denoise_2 (4)	COMPLETED	0	2024-12-12 17:02:58.306	1m 26s	1m 26s	79.9%	391.1 MB	2.9 GB	234.3 MB	157.9 MB
17	39/10cb80	3775058	ocrd_cis_ocropy_deskew_3 (1)	COMPLETED	0	2024-12-12 17:04:04.514	5m 31s	5m 31s	88.3%	337.2 MB	2.6 GB	356.5 MB	168.4 MB
