task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	f2/f1c533	3302395	split_page_ranges (3)	COMPLETED	0	2024-12-12 16:52:49.124	6.9s	6.5s	70.6%	155.6 MB	2.3 GB	67.8 MB	86.6 MB
4	e4/3abc80	3302428	split_page_ranges (4)	COMPLETED	0	2024-12-12 16:52:49.142	7s	6.6s	70.3%	145.9 MB	2.3 GB	67.8 MB	86.6 MB
8	4c/d18151	3302509	split_page_ranges (8)	COMPLETED	0	2024-12-12 16:52:49.179	7s	6.5s	70.8%	153.3 MB	2.3 GB	67.8 MB	86.6 MB
2	bd/0f2f13	3302610	split_page_ranges (2)	COMPLETED	0	2024-12-12 16:52:49.217	7s	6.6s	69.9%	147.4 MB	2.3 GB	67.8 MB	86.6 MB
7	60/a0330b	3302733	split_page_ranges (7)	COMPLETED	0	2024-12-12 16:52:49.255	7s	6.3s	73.5%	148.3 MB	2.2 GB	67.8 MB	86.6 MB
1	7e/45bc53	3302556	split_page_ranges (1)	COMPLETED	0	2024-12-12 16:52:49.198	7.1s	6.6s	68.8%	147.8 MB	2.3 GB	67.8 MB	86.6 MB
6	fa/de171d	3302462	split_page_ranges (6)	COMPLETED	0	2024-12-12 16:52:49.157	7.2s	6.7s	68.3%	146.3 MB	2.4 GB	67.8 MB	86.6 MB
5	d6/5c3743	3302355	split_page_ranges (5)	COMPLETED	0	2024-12-12 16:52:49.101	7.3s	7s	65.8%	146 MB	2.4 GB	67.9 MB	86.6 MB
9	a4/7c8245	3310435	ocrd_cis_ocropy_binarize_0 (1)	COMPLETED	0	2024-12-12 16:52:56.193	1m 10s	1m 10s	86.5%	485.1 MB	2.7 GB	129 MB	153.8 MB
10	64/706fe0	3310445	ocrd_cis_ocropy_binarize_0 (2)	COMPLETED	0	2024-12-12 16:52:56.211	1m 11s	1m 11s	85.6%	484.3 MB	2.7 GB	129.1 MB	153.8 MB
11	bb/f19cc3	3310477	ocrd_cis_ocropy_binarize_0 (3)	COMPLETED	0	2024-12-12 16:52:56.238	1m 12s	1m 11s	86.4%	475.7 MB	2.7 GB	128.3 MB	153.7 MB
16	6f/57f7a3	3310764	ocrd_cis_ocropy_binarize_0 (8)	COMPLETED	0	2024-12-12 16:52:56.509	1m 12s	1m 11s	86.2%	486.6 MB	2.8 GB	129 MB	153.8 MB
15	f7/b23cd8	3310617	ocrd_cis_ocropy_binarize_0 (7)	COMPLETED	0	2024-12-12 16:52:56.394	1m 12s	1m 11s	85.5%	483.8 MB	2.7 GB	129.3 MB	153.8 MB
12	51/1f2522	3310495	ocrd_cis_ocropy_binarize_0 (4)	COMPLETED	0	2024-12-12 16:52:56.262	1m 12s	1m 11s	86.6%	485.6 MB	2.7 GB	129.5 MB	153.8 MB
14	95/c48c96	3310540	ocrd_cis_ocropy_binarize_0 (6)	COMPLETED	0	2024-12-12 16:52:56.312	1m 13s	1m 12s	84.0%	474.3 MB	2.6 GB	128.6 MB	153.8 MB
13	ab/84edcc	3310516	ocrd_cis_ocropy_binarize_0 (5)	COMPLETED	0	2024-12-12 16:52:56.285	1m 13s	1m 12s	86.0%	483.3 MB	2.7 GB	128.6 MB	153.7 MB
24	d6/fd81a2	3359551	ocrd_anybaseocr_crop_1 (8)	COMPLETED	0	2024-12-12 16:54:08.887	44.1s	43.6s	84.2%	450.1 MB	3.3 GB	127 MB	142.6 MB
19	fb/91a3e9	3357661	ocrd_anybaseocr_crop_1 (3)	COMPLETED	0	2024-12-12 16:54:07.804	46.9s	46.5s	82.8%	451.2 MB	3.3 GB	126.7 MB	142.6 MB
23	7d/9d16df	3359500	ocrd_anybaseocr_crop_1 (7)	COMPLETED	0	2024-12-12 16:54:08.858	53.9s	53.6s	83.5%	447.4 MB	3.4 GB	127.5 MB	142.9 MB
17	be/c7ac8e	3356945	ocrd_anybaseocr_crop_1 (1)	COMPLETED	0	2024-12-12 16:54:06.722	57.5s	57.2s	84.7%	473.1 MB	3.4 GB	126.4 MB	141 MB
